,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
0,By Period,1,57,39,18,0.684,285.695,14,45,0.311,11,31,0.355,12,14,0.857,0,29,29,50,12,10,2,0,17,18,51,60,184.8,1,0,2,2,5,4,4,4,4,4,4,4,3,4,4,4,4,2,3,3,3,4,4,1,3,4,4,1,4,1,1,25,1
1,By Period,2,64,42,22,0.656,407.8016666666667,36,94,0.383,21,64,0.328,29,33,0.879,9,26,35,76,27,25,4,3,39,40,122,6,338.0,1,0,1,1,6,6,2,2,2,2,2,2,4,1,1,2,1,3,2,1,1,2,1,5,5,2,2,3,2,1,1,25,2
2,By Period,3,53,36,17,0.679,296.78,30,69,0.435,18,49,0.367,14,16,0.875,6,20,26,37,9,15,4,1,25,24,92,-11,226.7,1,0,4,4,3,5,3,3,3,1,3,3,1,3,3,3,3,4,4,4,4,3,1,4,4,3,3,6,3,1,1,25,3
3,By Period,4,56,39,17,0.696,419.575,40,106,0.377,26,71,0.366,25,28,0.893,7,35,42,68,23,27,4,4,51,46,131,17,353.4,1,0,3,2,3,3,1,1,1,3,1,1,2,2,2,1,2,1,1,2,2,1,1,6,6,1,1,2,1,1,1,25,4
4,By Period,5,2,2,0,1.0,10.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,1,0,4,0.2,0,0,5,5,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,6,5,6,5,1,1,5,5,4,6,5,1,25,5
5,By Period,6,2,2,0,1.0,5.08,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,2,0,0,0,0,0,2,7.7,0,0,5,5,1,1,6,5,6,5,5,6,5,5,5,5,4,5,5,5,5,5,5,1,1,6,5,5,5,5,1,25,6
