,PLAYER_ID,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON_TYPE,PLAYER_NAME,FG2M,FG2A,FG2_PCT,SEASON,TEAM_ABBREVIATION,LOCAL_AWAY
22,203992,22000171,2021-03-30,ATL vs. PHX,L,37,8,18,0.444,4,8,0.5,2,2,1.0,2,2,4,6,4,0,1,3,22,7,Regular,"Bogdanovic, Bogdan",4,10,0.4,2020-21,ATL,AWAY
23,203992,22000705,2021-03-28,ATL vs. DEN,L,23,4,9,0.444,1,3,0.333,0,0,0.0,1,0,1,1,1,0,0,1,9,-13,Regular,"Bogdanovic, Bogdan",3,6,0.5,2020-21,ATL,LOCAL
24,203992,22000692,2021-03-26,ATL vs. GSW,W,21,5,9,0.556,1,5,0.2,0,0,0.0,1,0,1,5,1,0,1,3,11,0,Regular,"Bogdanovic, Bogdan",4,4,1.0,2020-21,ATL,AWAY
25,203992,22000677,2021-03-24,ATL vs. SAC,L,32,7,11,0.636,4,6,0.667,2,2,1.0,0,4,4,1,2,1,1,2,20,3,Regular,"Bogdanovic, Bogdan",3,5,0.6,2020-21,ATL,LOCAL
26,203992,22000660,2021-03-22,ATL vs. LAC,L,22,5,12,0.417,2,7,0.286,0,0,0.0,1,2,3,2,1,0,0,1,12,-1,Regular,"Bogdanovic, Bogdan",3,5,0.6,2020-21,ATL,LOCAL
27,203992,22000640,2021-03-20,ATL vs. LAL,W,30,4,10,0.4,2,6,0.333,0,0,0.0,0,0,0,3,1,1,1,3,10,-11,Regular,"Bogdanovic, Bogdan",2,4,0.5,2020-21,ATL,LOCAL
28,203992,22000626,2021-03-18,ATL vs. OKC,W,29,9,14,0.643,5,9,0.556,0,0,0.0,1,5,6,3,0,0,0,3,23,6,Regular,"Bogdanovic, Bogdan",4,5,0.8,2020-21,ATL,AWAY
29,203992,22000613,2021-03-16,ATL vs. HOU,W,20,3,8,0.375,1,4,0.25,0,0,0.0,0,2,2,2,0,0,1,3,7,11,Regular,"Bogdanovic, Bogdan",2,4,0.5,2020-21,ATL,LOCAL
30,203992,22000597,2021-03-14,ATL vs. CLE,W,25,5,9,0.556,2,4,0.5,0,0,0.0,1,3,4,2,0,0,2,3,12,7,Regular,"Bogdanovic, Bogdan",3,5,0.6,2020-21,ATL,AWAY
31,203992,22000590,2021-03-13,ATL vs. SAC,W,22,2,12,0.167,0,5,0.0,2,2,1.0,2,2,4,1,1,0,0,0,6,13,Regular,"Bogdanovic, Bogdan",2,7,0.286,2020-21,ATL,AWAY
32,203992,22000570,2021-03-11,ATL vs. TOR,W,17,0,6,0.0,0,5,0.0,0,0,0.0,0,3,3,4,1,0,1,2,0,-4,Regular,"Bogdanovic, Bogdan",0,1,0.0,2020-21,ATL,AWAY
33,203992,22000544,2021-03-03,ATL vs. ORL,W,20,3,8,0.375,1,5,0.2,2,2,1.0,0,2,2,1,0,1,1,2,9,-4,Regular,"Bogdanovic, Bogdan",2,3,0.667,2020-21,ATL,AWAY
34,203992,22000538,2021-03-02,ATL vs. MIA,W,16,2,5,0.4,1,4,0.25,0,0,0.0,0,2,2,4,0,0,1,1,5,9,Regular,"Bogdanovic, Bogdan",1,1,1.0,2020-21,ATL,LOCAL
35,203992,22000134,2021-01-09,ATL vs. CHA,L,11,2,6,0.333,1,5,0.2,0,0,0.0,0,1,1,0,0,0,2,2,5,-1,Regular,"Bogdanovic, Bogdan",1,1,1.0,2020-21,ATL,AWAY
36,203992,22000110,2021-01-06,ATL vs. CHA,L,18,1,5,0.2,0,3,0.0,0,0,0.0,0,2,2,3,0,0,0,4,2,-9,Regular,"Bogdanovic, Bogdan",1,2,0.5,2020-21,ATL,LOCAL
37,203992,22000095,2021-01-04,ATL vs. NYK,L,19,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,3,0,0,1,4,3,-13,Regular,"Bogdanovic, Bogdan",0,0,0.0,2020-21,ATL,LOCAL
38,203992,22000083,2021-01-02,ATL vs. CLE,L,23,4,12,0.333,3,9,0.333,0,0,0.0,0,2,2,2,1,0,1,0,11,-8,Regular,"Bogdanovic, Bogdan",1,3,0.333,2020-21,ATL,AWAY
39,203992,22000072,2021-01-01,ATL vs. BKN,W,26,2,6,0.333,1,3,0.333,2,2,1.0,1,1,2,1,0,0,2,2,7,9,Regular,"Bogdanovic, Bogdan",1,3,0.333,2020-21,ATL,AWAY
40,203992,22000057,2020-12-30,ATL vs. BKN,L,29,7,14,0.5,6,11,0.545,2,2,1.0,0,4,4,1,1,0,0,2,22,-6,Regular,"Bogdanovic, Bogdan",1,3,0.333,2020-21,ATL,AWAY
41,203992,22000041,2020-12-28,ATL vs. DET,W,30,6,10,0.6,5,7,0.714,0,0,0.0,0,5,5,5,0,1,2,2,17,9,Regular,"Bogdanovic, Bogdan",1,3,0.333,2020-21,ATL,LOCAL
42,203992,22000021,2020-12-26,ATL vs. MEM,W,32,2,10,0.2,1,9,0.111,2,2,1.0,1,8,9,2,1,0,1,0,7,0,Regular,"Bogdanovic, Bogdan",1,1,1.0,2020-21,ATL,LOCAL
43,203992,22000015,2020-12-23,ATL vs. CHI,W,25,5,12,0.417,3,8,0.375,2,3,0.667,0,7,7,2,1,0,2,2,15,0,Regular,"Bogdanovic, Bogdan",2,4,0.5,2020-21,ATL,LOCAL
44,203991,22001049,2021-05-13,ATL vs. ORL,W,26,5,11,0.455,0,0,0.0,4,6,0.667,6,8,14,0,2,0,1,2,14,23,Regular,"Capela, Clint",5,11,0.455,2020-21,ATL,AWAY
45,203991,22001042,2021-05-12,ATL vs. WAS,W,28,7,7,1.0,0,0,0.0,3,5,0.6,1,10,11,0,0,2,2,1,17,10,Regular,"Capela, Clint",7,7,1.0,2020-21,ATL,LOCAL
46,203991,22001026,2021-05-10,ATL vs. WAS,W,35,5,10,0.5,0,0,0.0,0,2,0.0,7,15,22,1,0,4,1,2,10,6,Regular,"Capela, Clint",5,10,0.5,2020-21,ATL,LOCAL
47,203991,22001000,2021-05-06,ATL vs. IND,L,31,5,10,0.5,0,0,0.0,0,0,0.0,3,6,9,0,1,0,2,4,10,-5,Regular,"Capela, Clint",5,10,0.5,2020-21,ATL,LOCAL
48,203991,22000992,2021-05-05,ATL vs. PHX,W,24,8,11,0.727,0,0,0.0,2,2,1.0,5,5,10,0,0,2,1,2,18,-4,Regular,"Capela, Clint",8,11,0.727,2020-21,ATL,LOCAL
49,203991,22000978,2021-05-03,ATL vs. POR,W,35,4,5,0.8,0,0,0.0,3,4,0.75,0,10,10,2,1,2,1,4,11,1,Regular,"Capela, Clint",4,5,0.8,2020-21,ATL,LOCAL
50,203991,22000959,2021-05-01,ATL vs. CHI,W,30,8,9,0.889,0,0,0.0,4,9,0.444,2,9,11,0,0,2,0,3,20,19,Regular,"Capela, Clint",8,9,0.889,2020-21,ATL,AWAY
51,203991,22000949,2021-04-30,ATL vs. PHI,L,17,5,11,0.455,0,0,0.0,1,3,0.333,6,9,15,1,1,0,0,3,11,5,Regular,"Capela, Clint",5,11,0.455,2020-21,ATL,LOCAL
